Title,Year_recorded,Year_released,Album,Record_label,Album_type,Track_number,Duration,Songwriter,Lead_vocal,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,British_charts,Date,UK_peak_pos,WoC,US_cash,US_rec_world,AUS,US,GER,NLD,FRA,SWI,CAN,POL,Certification
Continental Drift,1989,1989,Flashpoint,Virgin,Live,1,28,Jagger/Richards,Jagger,0.0123,0.326,0.878,0.383,0.307,-7.672,0.0569,127.125,0.756,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
"Cool, Calm & Collected",1966,1967,Between the Buttons,ABKCO Records,Studio,6,259,Jagger/Richards,Jagger,0.187,0.522415777,0.769,0.00691,0.2045,-6.493,0.0429,118.944,0.668,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Corinna ,1997,1998,No Security,Virgin,Live,6,257,Taj Mahal/Jesse Ed Davis III,"Jagger, Taj Mahal",0.187,0.522415777,0.769,0.00691,0.2045,-6.493,0.0429,118.944,0.668,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Country Honk,1969,1969,Let It Bleed,ABKCO Records,Studio,3,187,Jagger/Richards,Jagger,0.685,0.538,0.751,7.47e-06,0.328,-10.988,0.0579,121.006,0.892,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Crackin' Up ,1977,1977,Love You Live,Virgin,Live,2,344,Bo Diddley,Jagger,0.496,0.654,0.763,0.0545,0.58,-7.108,0.0947,105.342,0.939,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Crazy Mama,1975,1976,Black and Blue,Virgin,Studio,8,275,Jagger/Richards,Jagger,0.214,0.389,0.909,0.00376,0.415,-3.705,0.0397,112.498,0.781,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Cry To Me,1965,1965,Out of Our Heads,ABKCO Records,Studio,8,189,Bert Berns,Jagger,0.125,0.348,0.641,0.189,0.17,-10.159,0.0406,182.276,0.522,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Dance (Pt. 1),1979,1980,Emotional Rescue,Universal,Studio,1,263,Jagger/Richards/Wood,Jagger,0.333,0.748,0.834,0.518,0.0582,-8.281,0.033,107.428,0.925,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Dance Little Sister,1974,1974,It's Only Rock 'n' Roll,Virgin,Studio,7,251,Jagger/Richards,Jagger,0.00648,0.46,0.961,0.182,0.27,-4.254,0.0817,152.776,0.893,No,No,No,No,No,No,No,No,No,No,19th,No,No,No,No
Dancing With Mr. D,1972,1973,Goats Head Soup,Interscope / Polydor,Studio,1,292,Jagger/Richards,Jagger,0.562,0.564,0.924,0.649,0.403,-3.585,0.0345,106.022,0.903,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Dead Flowers,1969,1971,Sticky Fingers,Virgin,Studio,9,245,Jagger/Richards,Jagger,0.33,0.54,0.862,1.7e-05,0.156,-4.599,0.0284,130.34,0.931,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Dear Doctor,1968,1968,Beggars Banquet,ABKCO Records,Studio,3,202,Jagger/Richards,Jagger,0.187,0.601,0.463,0.0,0.132,-8.671,0.0318,126.183,0.526,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Dirty Work,1985,1986,Dirty Work,Virgin,Studio,8,233,Jagger/Richards/Wood,Jagger,0.086,0.431,0.975,0.00497,0.0878,-3.972,0.191,175.355,0.609,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Doncha Bother Me,1965,1966,Aftermath,ABKCO Records,Studio,5,154,Jagger/Richards,Jagger,0.558,0.557,0.827,0.00563,0.109,-11.175,0.0541,123.09,0.79,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Doo Doo Doo Doo Doo (Heartbreaker),1972,1973,Goats Head Soup,Interscope / Polydor,Studio,4,206,Jagger/Richards,Jagger,0.0765,0.319,0.925,0.000558,0.932,-5.584,0.088,125.335,0.532,No,No,No,No,10th,11th,No,15th,No,No,No,No,5th,No,No
Down Home Girl,1964,1965,"The Rolling Stones, Now!",ABKCO Records,Studio,2,253,Jerry Leiber/Artie Butler,Jagger,0.672,0.675,0.782,0.692,0.0825,-8.204,0.0276,115.855,0.835,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Down In The Hole,1979,1980,Emotional Rescue,Universal,Studio,7,238,Jagger/Richards,Jagger,0.0119,0.293,0.712,0.902,0.348,-6.122,0.0908,186.898,0.249,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Down The Road A Piece,1964,1965,"The Rolling Stones, Now!",ABKCO Records,Studio,7,176,Don Raye,Jagger,0.187,0.522415777,0.769,0.00691,0.2045,-6.493,0.0429,118.944,0.668,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Driving Too Fast,2005,2005,A Bigger Bang,Virgin,Studio,15,236,Jagger/Richards,Jagger,0.0211,0.472,0.978,0.0,0.268,-2.529,0.0937,142.332,0.657,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Emotional Rescue,1979,1980,Emotional Rescue,Universal,Studio,8,339,Jagger/Richards,Jagger,0.111,0.678,0.621,0.0973,0.0394,-5.478,0.0623,113.389,0.776,Yes,05.07. 1980,9th,8th,No,No,8th,3rd,15th,5th,15th,11th,1st,No,No
Empty Heart,1964,1964,12 X 5,ABKCO Records,Studio,3,158,Nanker Phelge[a],Jagger,0.0104,0.504,0.679,0.0,0.0717,-10.36,0.0399,140.624,0.96,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Everybody Knows About My Good Thing,2015,2016,Blue & Lonesome,Interscope / Polydor,Studio,6,270,Miles Grayson/Lermon Horton,Jagger,0.248,0.28,0.84,0.228,0.366,-3.497,0.0728,199.771,0.476,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Everybody Needs Somebody To Love,1964,1965,"The Rolling Stones, Now!",ABKCO Records,Studio,1,180,Jerry Wexler/Bert Berns/Solomon Burke,Jagger,0.273,0.531,0.744,0.00318,0.128,-7.58,0.07,177.862,0.778,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
